Context,Response
Context: ha! we're not funny-looking; animals are funny-looking.,Response: we're funny-looking because we wear clothes.
Context: i have to clean the house.,"Response: yes, it's very dirty."
"Context: yes, it's very dirty.",Response: you can help me.
Context: you can help me.,Response: why me?
Context: why me?,Response: because you helped make it dirty.
Context: because you helped make it dirty.,Response: what do you want me to do?
Context: what do you want me to do?,Response: i want you to clean the bathroom.
Context: i want you to clean the bathroom.,"Response: oh, that's easy."
"Context: oh, that's easy.","Response: clean the sink, the tub, the counter, and the toilet."
"Context: clean the sink, the tub, the counter, and the toilet.",Response: that's a lot of work.
Context: that's a lot of work.,Response: tell me when you finish.
Context: tell me when you finish.,Response: i don't think so. you'll just give me more work.
Context: you're watching too much tv.,Response: what do you mean?
Context: what do you mean?,Response: i mean you're wasting your life.
Context: i mean you're wasting your life.,Response: i'm having fun.
Context: i'm having fun.,Response: you're sitting there with your mouth open.
Context: you're sitting there with your mouth open.,Response: who cares?
Context: who cares?,Response: i care. do something.
Context: i care. do something.,Response: okay. i did something.
Context: okay. i did something.,Response: what did you do?
Context: what did you do?,Response: i turned up the volume.
Context: i turned up the volume.,"Response: that's not what i meant by ""do something."""
"Context: that's not what i meant by ""do something.""",Response: will you do something? leave me alone.
Context: did you write a letter to grandma?,"Response: yes, i did."
"Context: yes, i did.",Response: did you tell her about school?
Context: did you tell her about school?,Response: i told her that school is fun.
Context: i told her that school is fun.,Response: did you put the letter in an envelope?
Context: did you put the letter in an envelope?,"Response: yes, and i sealed the envelope."
"Context: yes, and i sealed the envelope.",Response: did you put a stamp on the envelope?
Context: did you put a stamp on the envelope?,Response: i couldn't find any stamps.
Context: i couldn't find any stamps.,Response: they're in the kitchen drawer.
Context: they're in the kitchen drawer.,Response: okay. i just put a stamp on the envelope.
Context: okay. i just put a stamp on the envelope.,"Response: give me the envelope, and i'll mail it for you."
"Context: give me the envelope, and i'll mail it for you.",Response: when is grandma going to learn about e-mail?
Context: why are you yawning?,Response: i'm sleepy.
Context: i'm sleepy.,Response: why don't you go to bed?
Context: why don't you go to bed?,Response: i want to watch this tv show.
Context: i want to watch this tv show.,Response: maybe you should record it.
Context: maybe you should record it.,Response: the tape recorder is broken.
Context: the tape recorder is broken.,Response: then you should watch the rerun.
Context: then you should watch the rerun.,Response: why? i'm watching the original.
Context: why? i'm watching the original.,Response: but you'll be asleep in about one minute.
Context: but you'll be asleep in about one minute.,Response: i'm just yawning because the commercials are on.
Context: i'm just yawning because the commercials are on.,Response: okay. i'll tell you how the show ends.
Context: okay. i'll tell you how the show ends.,Response: zzz.
Context: it's sunday.,Response: so?
Context: so?,Response: you know what that means.
Context: you know what that means.,Response: i forgot.
Context: i forgot.,Response: sunday means we go to church.
Context: sunday means we go to church.,"Response: oh, yeah."
"Context: oh, yeah.",Response: put on a coat and tie.
Context: put on a coat and tie.,Response: why?
Context: why?,Response: to show respect to god and others.
Context: to show respect to god and others.,Response: i'm glad sunday is only once a week.
Context: i'm glad sunday is only once a week.,Response: i hope god didn't hear that.
Context: i hope god didn't hear that.,Response: he'll forgive me.
Context: did you feed the cat?,Response: i'll do that in a minute.
Context: i'll do that in a minute.,Response: the cat is meowing. he's hungry.
Context: the cat is meowing. he's hungry.,Response: okay. i'll feed him right now.
Context: okay. i'll feed him right now.,Response: you shouldn't make him wait.
Context: you shouldn't make him wait.,Response: i was doing my homework.
Context: i was doing my homework.,Response: the cat doesn't care about your homework.
Context: the cat doesn't care about your homework.,Response: the cat doesn't care about anything.
Context: the cat doesn't care about anything.,Response: that's the way cats are.
Context: that's the way cats are.,Response: all they think about is themselves.
Context: all they think about is themselves.,Response: maybe we should get rid of him.
Context: maybe we should get rid of him.,Response: of course not! he's family.
Context: i hate shaving.,Response: me too.
Context: me too.,Response: i just cut myself again.
Context: i just cut myself again.,Response: did you use a new blade?
Context: did you use a new blade?,"Response: it doesn't matter. old blades cut, new blades cut."
"Context: it doesn't matter. old blades cut, new blades cut.",Response: maybe you should use an electric shaver.
Context: maybe you should use an electric shaver.,"Response: they make a lot of noise, but they don't give a close shave."
"Context: they make a lot of noise, but they don't give a close shave.",Response: maybe you should stop shaving.
Context: maybe you should stop shaving.,Response: and grow a beard?
Context: and grow a beard?,Response: sure. why not?
Context: sure. why not?,Response: because food and other stuff sticks in my beard.
Context: because food and other stuff sticks in my beard.,Response: hmm. here's an idea. put cream on your face and have the cat lick it off.
Context: excuse me.,Response: yes?
Context: yes?,Response: are you reading this paper?
Context: are you reading this paper?,"Response: oh, no. help yourself."
"Context: oh, no. help yourself.",Response: i asked because the paper is sitting next to you.
Context: i asked because the paper is sitting next to you.,Response: thank you. that's polite of you to ask.
Context: thank you. that's polite of you to ask.,Response: some people would just pick it up.
Context: some people would just pick it up.,"Response: yes, i know. some people are rude."
"Context: yes, i know. some people are rude.",Response: i always try to be polite.
Context: i always try to be polite.,Response: so do i.
Context: so do i.,Response: the world needs more polite people like us.
Context: the world needs more polite people like us.,Response: i agree 100 percent.
"Context: mom, i want a puppy.",Response: let me think about it.
Context: let me think about it.,Response: why do you have to think about it?
Context: why do you have to think about it?,Response: because a puppy costs money.
Context: because a puppy costs money.,"Response: no, it doesn't. puppies are free."
"Context: no, it doesn't. puppies are free.","Response: yes, but a puppy needs shots."
"Context: yes, but a puppy needs shots.",Response: shots for what?
Context: shots for what?,Response: so it won't get sick. just like you get shots.
Context: so it won't get sick. just like you get shots.,Response: i hate shots.
Context: i hate shots.,Response: and a puppy eats food. food costs money.
Context: and a puppy eats food. food costs money.,Response: no problem. i'll give him food off my plate.
Context: no problem. i'll give him food off my plate.,"Response: oh, no you don't. puppies don't eat vegetables."
Context: look at all these kittens!,Response: how many are there?
Context: how many are there?,Response: eight.
Context: eight.,Response: they're all so cute.
Context: they're all so cute.,"Response: yes, but i can't keep them."
"Context: yes, but i can't keep them.",Response: what are you going to do with them?
Context: what are you going to do with them?,Response: i'm going to give them away. do you want one?
Context: i'm going to give them away. do you want one?,"Response: yes, i would love one."
"Context: yes, i would love one.",Response: which one do you want?
Context: which one do you want?,Response: that one. the one that's all black.
Context: that one. the one that's all black.,"Response: yes, i like that one, too."
"Context: yes, i like that one, too.",Response: i'll call him blacky.
Context: my parents go to church every sunday.,Response: they trust in god.
Context: they trust in god.,Response: they hope they will go to heaven.
Context: they hope they will go to heaven.,Response: they probably will.
Context: they probably will.,Response: but no one knows for sure.
Context: but no one knows for sure.,Response: that's for sure.
Context: that's for sure.,Response: no one knows what happens after we die.
Context: no one knows what happens after we die.,"Response: if we are good, we will be happy in heaven with god."
"Context: if we are good, we will be happy in heaven with god.",Response: that's what many people believe.
Context: that's what many people believe.,"Response: if we are bad, we will be unhappy forever in hell."
"Context: if we are bad, we will be unhappy forever in hell.",Response: i don't want to go to hell.
Context: i don't want to go to hell.,Response: let's go to church with your parents on sunday.
Context: my husband died.,Response: i'm sorry for you.
Context: i'm sorry for you.,Response: thank you.
Context: thank you.,Response: when did he die?
Context: when did he die?,Response: a couple of months ago.
Context: a couple of months ago.,Response: you still miss him.
Context: you still miss him.,"Response: yes, but i talk to him almost every day."
"Context: yes, but i talk to him almost every day.",Response: when you go to church?
Context: when you go to church?,"Response: no, when i call him on his cell phone."
"Context: no, when i call him on his cell phone.",Response: what do you mean?
Context: what do you mean?,Response: i buried him with his cell phone.
Context: i buried him with his cell phone.,Response: what will you do when the battery dies?
Context: today is friday the thirteenth.,Response: that's a bad day.
Context: that's a bad day.,Response: it's supposed to be unlucky.
Context: it's supposed to be unlucky.,Response: you're supposed to stay home all day.
Context: you're supposed to stay home all day.,Response: that's what i do.
Context: that's what i do.,Response: my friend stayed in a hotel on friday the thirteenth.
Context: my friend stayed in a hotel on friday the thirteenth.,Response: that was a mistake.
Context: that was a mistake.,Response: he stayed on the thirteenth floor.
Context: he stayed on the thirteenth floor.,Response: what happened?
Context: what happened?,Response: someone stole his laptop.
Context: someone stole his laptop.,Response: he was asking for it.
Context: he was asking for it.,Response: he learned his lesson. he's home today.
Context: do you really love me?,Response: of course.
Context: of course.,Response: prove it.
Context: prove it.,Response: how can i prove it?
Context: how can i prove it?,Response: take me to dinner.
Context: take me to dinner.,Response: that's it? that's all i have to do?
Context: that's it? that's all i have to do?,"Response: take me to a nice restaurant, not to mcdonald's."
"Context: take me to a nice restaurant, not to mcdonald's.",Response: but a nice restaurant costs money.
Context: but a nice restaurant costs money.,"Response: yes, and you have to make a reservation."
"Context: yes, and you have to make a reservation.",Response: that's such a hassle.
Context: that's such a hassle.,Response: i knew you didn't love me.
Context: i knew you didn't love me.,"Response: okay, okay! i'll make a reservation right now."
Context: my parents are divorced.,Response: so are mine.
Context: so are mine.,Response: why did your parents get divorced?
Context: why did your parents get divorced?,Response: my father found a new girlfriend.
Context: my father found a new girlfriend.,Response: that's too bad.
Context: that's too bad.,Response: my mother was hurt and angry.
Context: my mother was hurt and angry.,Response: she had good reason. what did she do?
Context: she had good reason. what did she do?,Response: she told him to drop his girlfriend.
Context: she told him to drop his girlfriend.,Response: what did your father do?
Context: what did your father do?,Response: he moved out of our house.
Context: he moved out of our house.,Response: i guess he really liked his new girlfriend.
Context: i guess he really liked his new girlfriend.,"Response: yes, but she left him a year later."
Context: my grandma's apartment smells funny.,Response: so does mine.
Context: so does mine.,Response: i think it's an old people's smell.
Context: i think it's an old people's smell.,Response: really?
Context: really?,"Response: yes. i think when you get old, you begin to smell."
"Context: yes. i think when you get old, you begin to smell.",Response: like fruit that is too ripe?
Context: like fruit that is too ripe?,"Response: yes, just like fruit that is too ripe."
"Context: yes, just like fruit that is too ripe.",Response: but the smell is different.
Context: but the smell is different.,"Response: yes, old people don't smell like fruit."
"Context: yes, old people don't smell like fruit.","Response: no, they smell like a thrift shop."
"Context: no, they smell like a thrift shop.","Response: yes, a thrift shop has that same smell."
"Context: yes, a thrift shop has that same smell.","Response: yes, an old smell."
Context: the price of stamps goes up and up.,Response: i think stamps used to cost a penny.
Context: i think stamps used to cost a penny.,Response: that was a long time ago.
Context: that was a long time ago.,Response: it was before i was born.
Context: it was before i was born.,Response: now a stamp is 42 cents.
Context: now a stamp is 42 cents.,Response: but in may it will be 44 cents.
Context: but in may it will be 44 cents.,Response: have you ever lost a letter in the mail?
Context: have you ever lost a letter in the mail?,"Response: no, i haven't."
"Context: no, i haven't.",Response: neither have i.
Context: neither have i.,"Response: so, they do a good job for the money."
"Context: so, they do a good job for the money.","Response: yes, they do."
"Context: yes, they do.",Response: maybe we shouldn't complain.
Context: a button came off my shirt.,Response: what are you going to do?
Context: what are you going to do?,"Response: first, i have to find the button."
"Context: first, i have to find the button.",Response: where did you lose it?
Context: where did you lose it?,Response: i have no idea.
Context: i have no idea.,Response: a button is hard to find. did you look in your pant cuffs?
Context: a button is hard to find. did you look in your pant cuffs?,Response: that's a good idea.
Context: that's a good idea.,Response: i found a button in my pant cuffs one time.
Context: i found a button in my pant cuffs one time.,"Response: let me look. no, it's not there."
"Context: let me look. no, it's not there.",Response: many shirts come with an extra button.
Context: many shirts come with an extra button.,Response: you're right. this one does have an extra button.
Context: you're right. this one does have an extra button.,Response: now all you have to do is sew it on.
Context: i have to go to the bathroom.,Response: you drink too much coffee.
Context: you drink too much coffee.,Response: but i love coffee.
Context: but i love coffee.,"Response: well, it's your life."
"Context: well, it's your life.",Response: you eat too much chocolate.
Context: you eat too much chocolate.,Response: i don't think so.
Context: i don't think so.,Response: have you looked in the mirror?
Context: have you looked in the mirror?,Response: do you think i'm getting fat?
Context: do you think i'm getting fat?,Response: i didn't say that.
Context: i didn't say that.,Response: what did you say?
Context: what did you say?,Response: i said i have to go to the bathroom.
Context: i said i have to go to the bathroom.,Response: that's what i thought you said.
Context: did you do the laundry?,"Response: yes, i did."
"Context: yes, i did.",Response: what did you wash?
Context: what did you wash?,Response: i washed the sheets and towels.
Context: i washed the sheets and towels.,Response: what about the pillowcases?
Context: what about the pillowcases?,"Response: yes, i took them off the pillows and washed them."
"Context: yes, i took them off the pillows and washed them.",Response: did you dry everything in the dryer?
Context: did you dry everything in the dryer?,"Response: yes, i dried everything in the dryer."
"Context: yes, i dried everything in the dryer.",Response: then what did you do?
Context: then what did you do?,Response: i folded all the towels.
Context: i folded all the towels.,Response: did you put the sheets on the beds?
Context: did you put the sheets on the beds?,"Response: yes, and i put the pillowcases on the pillows."
Context: do you listen to the radio?,Response: i listen day and night.
Context: i listen day and night.,Response: what do you listen to?
Context: what do you listen to?,Response: mostly talk radio.
Context: mostly talk radio.,Response: what's that?
Context: what's that?,Response: people talk about current events.
Context: people talk about current events.,Response: what do they say?
Context: what do they say?,Response: they say they want change.
Context: they say they want change.,Response: what kind of change?
Context: what kind of change?,Response: they want tax cuts.
Context: they want tax cuts.,Response: why do they want tax cuts?
Context: why do they want tax cuts?,Response: because tax cuts will save them money.
"Context: mom, i'm hungry.",Response: look in the fridge.
Context: look in the fridge.,Response: i'm looking. there's nothing to eat.
Context: i'm looking. there's nothing to eat.,Response: are you sure?
Context: are you sure?,Response: it's almost empty.
Context: it's almost empty.,Response: i went to the market yesterday.
Context: i went to the market yesterday.,Response: i don't see anything.
Context: i don't see anything.,Response: i bought lots of oranges and apples.
Context: i bought lots of oranges and apples.,Response: i don't want fruit. i want something tasty.
Context: i don't want fruit. i want something tasty.,Response: eat the fruit. it's good for you.
Context: eat the fruit. it's good for you.,"Response: next time you go to the market, let me go with you."
"Context: next time you go to the market, let me go with you.","Response: no, thank you. all you want to eat are hot dogs and candy bars."
Context: what is there to eat?,Response: i don't know. look in the fridge.
Context: i don't know. look in the fridge.,Response: i think i'll make a sandwich.
Context: i think i'll make a sandwich.,Response: what kind?
Context: what kind?,Response: a ham sandwich.
Context: a ham sandwich.,Response: the bread is in the cabinet.
Context: the bread is in the cabinet.,Response: where's the mustard?
Context: where's the mustard?,"Response: it's in the fridge, i think."
"Context: it's in the fridge, i think.","Response: oh, yes, here it is. do you want a sandwich?"
"Context: oh, yes, here it is. do you want a sandwich?","Response: yes, that sounds nice."
"Context: yes, that sounds nice.",Response: how about some potato chips?
Context: how about some potato chips?,"Response: yes. and a pickle, if we have any."
"Context: it's time for your bath, young lady.","Response: but, mom, i'm not dirty."
"Context: but, mom, i'm not dirty.",Response: you need a bath every day.
Context: you need a bath every day.,Response: why?
Context: why?,Response: because you don't want to smell bad.
Context: because you don't want to smell bad.,Response: i don't smell bad.
Context: i don't smell bad.,Response: that's what you think.
Context: that's what you think.,"Response: if i smelled bad, i could smell me."
"Context: if i smelled bad, i could smell me.",Response: i can smell you.
Context: i can smell you.,"Response: i can smell you, too."
"Context: i can smell you, too.",Response: that's my perfume.
Context: that's my perfume.,Response: when can i wear perfume?
Context: something's wrong with my computer.,Response: exactly what?
Context: exactly what?,Response: all i get is a black screen.
Context: all i get is a black screen.,Response: what's the matter?
Context: what's the matter?,"Response: i think i know, because this happened before."
"Context: i think i know, because this happened before.",Response: what happened before?
Context: what happened before?,Response: my hard drive crashed.
Context: my hard drive crashed.,"Response: oh, no. that's bad news."
"Context: oh, no. that's bad news.","Response: it sure is, but i'm going to call hp first, just to make sure."
"Context: it sure is, but i'm going to call hp first, just to make sure.",Response: will you lose all your files?
Context: will you lose all your files?,"Response: no, i always back up my files."
"Context: no, i always back up my files.",Response: you're smart.
Context: i called hp about my computer.,Response: what did they say?
Context: what did they say?,Response: they said i need a new hard drive.
Context: they said i need a new hard drive.,Response: that's too bad. how much is a new one?
Context: that's too bad. how much is a new one?,"Response: it's not too much, only about $85."
"Context: it's not too much, only about $85.",Response: plus installation?
Context: plus installation?,"Response: no, my hard drive is easy to remove and replace."
"Context: no, my hard drive is easy to remove and replace.",Response: really?
Context: really?,"Response: yes, it's just a couple of screws."
"Context: yes, it's just a couple of screws.",Response: that's nice.
Context: that's nice.,Response: it's a lot better than paying someone $60.
Context: it's a lot better than paying someone $60.,"Response: if my hard drive crashes, i'll just call you."
Context: what's your email address?,Response: it's bluedog123.
Context: it's bluedog123.,Response: bluedog123. are you sure that's all?
Context: bluedog123. are you sure that's all?,Response: yes.
Context: yes.,Response: no. that's incomplete.
Context: no. that's incomplete.,Response: what do you mean?
Context: what do you mean?,Response: what's your mailing address?
Context: what's your mailing address?,"Response: 456 cherry drive, pasadena, ca 91170."
"Context: 456 cherry drive, pasadena, ca 91170.",Response: that's correct.
Context: that's correct.,Response: so what's the problem?
Context: so what's the problem?,"Response: bluedog123 is just the street. you have to give me the city, state, and zip code."
"Context: bluedog123 is just the street. you have to give me the city, state, and zip code.","Response: oh, i get it. my email address is bluedog123@yahoo.com."
Context: i'm going to take a nap.,Response: you should unplug the phone.
Context: you should unplug the phone.,Response: that's a good idea.
Context: that's a good idea.,Response: do you want me to wake you in an hour?
Context: do you want me to wake you in an hour?,"Response: no, thanks. just let me sleep until i wake up."
"Context: no, thanks. just let me sleep until i wake up.",Response: i'll start dinner at 6:00.
Context: i'll start dinner at 6:00.,Response: okay. i think i'll be awake by then.
Context: okay. i think i'll be awake by then.,"Response: if not, your nose will wake you up."
"Context: if not, your nose will wake you up.",Response: you mean i will smell the food cooking?
Context: you mean i will smell the food cooking?,Response: you might even dream about dinner.
Context: you might even dream about dinner.,Response: i don't think i'm going to dream about anything. i'm really tired.
Context: i don't think i'm going to dream about anything. i'm really tired.,Response: have a nice nap.
Context: that was a nice funeral.,"Response: yes, dad, it was."
"Context: yes, dad, it was.",Response: the son gave a nice speech about his father.
Context: the son gave a nice speech about his father.,"Response: it was long, too."
"Context: it was long, too.",Response: i think it was about 45 minutes long.
Context: i think it was about 45 minutes long.,Response: but it went by fast. it was interesting.
Context: but it went by fast. it was interesting.,Response: i liked it.
Context: i liked it.,"Response: i'll give you a speech like that, too."
"Context: i'll give you a speech like that, too.",Response: do you think anyone will come to my funeral?
Context: do you think anyone will come to my funeral?,Response: of course.
Context: of course.,Response: i think only the family will be there.
Context: i think only the family will be there.,"Response: you have lots of friends. they will be there, too!"
Context: yikes! what was that noise?,Response: i had to blow my nose.
Context: i had to blow my nose.,Response: did you have to blow right next to the phone?
Context: did you have to blow right next to the phone?,Response: did you hear that?
Context: did you hear that?,Response: of course i heard that. i thought a plane had crashed into your house.
Context: of course i heard that. i thought a plane had crashed into your house.,Response: it wasn't that loud.
Context: it wasn't that loud.,"Response: i will blow my nose sometime for you, and you'll see."
"Context: i will blow my nose sometime for you, and you'll see.",Response: okay. i'll take your word for it.
Context: okay. i'll take your word for it.,Response: i thought you had an elephant in your house.
Context: i thought you had an elephant in your house.,Response: you're funny.
Context: you're funny.,Response: what did you say? i think i've gone deaf.
Context: what did you say? i think i've gone deaf.,Response: i'm going into the bathroom to blow my nose. i'll be right back.
Context: i have lots of friends.,Response: really? how many do you have?
Context: really? how many do you have?,"Response: i don't know, maybe one hundred."
"Context: i don't know, maybe one hundred.",Response: that is a lot of friends. do you have a best friend?
Context: that is a lot of friends. do you have a best friend?,Response: of course. i have lots of best friends.
Context: of course. i have lots of best friends.,Response: how many best friends do you have?
Context: how many best friends do you have?,Response: i think about twenty-five.
Context: i think about twenty-five.,Response: hmm. i have only one best friend.
Context: hmm. i have only one best friend.,Response: i feel sorry for you.
Context: i feel sorry for you.,Response: i have only a few friends.
Context: i have only a few friends.,Response: you must be lonely. i will share my friends with you.
Context: you must be lonely. i will share my friends with you.,Response: that's very nice of you.
Context: don't you ever cheat on me.,Response: why would i do that?
Context: why would i do that?,Response: because men like to cheat.
Context: because men like to cheat.,"Response: some men do, but not me."
"Context: some men do, but not me.",Response: i'm watching you.
Context: i'm watching you.,Response: i'm an open book. watch me all you want.
Context: i'm an open book. watch me all you want.,"Response: if i catch you, you'll be sorry."
"Context: if i catch you, you'll be sorry.","Response: you won't catch me, because i love you. i'm not a cheater."
"Context: you won't catch me, because i love you. i'm not a cheater.",Response: i will poke your eyes out. 
Context: i will poke your eyes out. ,Response: i don't want any other woman.
Context: i don't want any other woman.,"Response: i will chop your toes off, one by one."
"Context: i will chop your toes off, one by one.","Response: honey, please. you're the only woman for me, forever. i swear it."
Context: i hate to go outside.,Response: me too.
Context: me too.,Response: why do you hate to go outside?
Context: why do you hate to go outside?,Response: i meet too many jerks.
Context: i meet too many jerks.,Response: i agree.
Context: i agree.,Response: this city is full of jerks.
Context: this city is full of jerks.,Response: rude people are everywhere.
Context: rude people are everywhere.,Response: but what can you do?
Context: but what can you do?,Response: you can yell at them.
Context: you can yell at them.,Response: and they will yell back at you.
Context: and they will yell back at you.,Response: yelling doesn't do any good.
Context: yelling doesn't do any good.,Response: no. the best thing to do is just stay home.
Context: will you look at this form?,Response: are you having problems with it?
Context: are you having problems with it?,Response: i don't understand some things.
Context: i don't understand some things.,Response: let me help you.
Context: let me help you.,"Response: what does ""mi"" mean?"
"Context: what does ""mi"" mean?",Response: mi stands for middle initial.
Context: mi stands for middle initial.,"Response: what does ""mm/dd/yy"" mean?"
"Context: what does ""mm/dd/yy"" mean?",Response: that means month/day/year. use numbers.
Context: that means month/day/year. use numbers.,Response: i don't understand.
Context: i don't understand.,"Response: for example, if your birth date is january 12, 1987, write 01/12/87."
"Context: for example, if your birth date is january 12, 1987, write 01/12/87.",Response: oh. that's simple enough.
Context: oh. that's simple enough.,"Response: always print clearly, and fill in the bubbles completely."
Context: let's go to the animal shelter.,Response: what do you want to do?
Context: what do you want to do?,Response: i want to get a puppy for my son.
Context: i want to get a puppy for my son.,Response: that will make him so happy.
Context: that will make him so happy.,Response: i'll get him one of those little dogs.
Context: i'll get him one of those little dogs.,Response: one that won't grow up too big.
Context: one that won't grow up too big.,Response: and eat too much.
Context: and eat too much.,Response: do you know which one he would like?
Context: do you know which one he would like?,"Response: oh, yes, i took him there yesterday. he showed me one that he really liked."
"Context: oh, yes, i took him there yesterday. he showed me one that he really liked.",Response: i bet you had to drag him away.
Context: i bet you had to drag him away.,Response: he wanted to take it home yesterday.
Context: he wanted to take it home yesterday.,Response: i wonder what he'll name it.
Context: what's the weather like?,Response: i don't know. i just woke up.
Context: i don't know. i just woke up.,Response: why don't you look outside?
Context: why don't you look outside?,Response: okay. it looks like rain.
Context: okay. it looks like rain.,Response: why do you say that?
Context: why do you say that?,Response: the sky is gray.
Context: the sky is gray.,Response: is it raining right now?
Context: is it raining right now?,Response: no.
Context: no.,Response: how do you know?
Context: how do you know?,Response: the street isn't wet.
Context: the street isn't wet.,Response: i have to go shopping today.
Context: i have to go shopping today.,Response: you'd better take an umbrella.
Context: i can't believe how hot it is.,Response: it's not even noon yet.
Context: it's not even noon yet.,Response: that means it will get hotter.
Context: that means it will get hotter.,Response: i am dying from the heat.
Context: i am dying from the heat.,Response: turn on the air conditioner.
Context: turn on the air conditioner.,Response: it doesn't work.
Context: it doesn't work.,Response: what happened?
Context: what happened?,Response: i don't know.
Context: i don't know.,Response: did you call the repairman?
Context: did you call the repairman?,Response: of course.
Context: of course.,Response: when is he coming?
Context: when is he coming?,Response: he's busy. he said next week.
Context: i'll be glad when winter comes.,Response: why is that?
Context: why is that?,Response: because i love the snow.
Context: because i love the snow.,"Response: yes, the snow is fun."
"Context: yes, the snow is fun.",Response: last year we made a big snowman.
Context: last year we made a big snowman.,Response: how big was it?
Context: how big was it?,Response: it was seven feet tall.
Context: it was seven feet tall.,Response: how long did it take?
Context: how long did it take?,Response: it took us all day.
Context: it took us all day.,Response: did you give him a nose?
Context: did you give him a nose?,Response: of course. we gave him a big carrot for a nose.
Context: of course. we gave him a big carrot for a nose.,Response: let me help you make one this year.
Context: i'm going to the bank.,Response: what do you need to do?
Context: what do you need to do?,Response: i need to withdraw some money.
Context: i need to withdraw some money.,Response: how are you going to do that?
Context: how are you going to do that?,Response: i'll just use the atm.
Context: i'll just use the atm.,Response: what's that?
Context: what's that?,Response: it's the automatic teller machine.
Context: it's the automatic teller machine.,Response: it gives you money?
Context: it gives you money?,Response: i just insert my debit card into the machine.
Context: i just insert my debit card into the machine.,Response: and it gives you money?
Context: and it gives you money?,"Response: well, it gives me money, but it's my own money."
"Context: well, it gives me money, but it's my own money.",Response: oh. what good is that? i thought it gave you free money.
Context: did you put the blue bin out on the street?,"Response: oh, no. i forgot."
"Context: oh, no. i forgot.","Response: well, you'd better take it out front."
"Context: well, you'd better take it out front.",Response: what time does the recycle truck come by?
Context: what time does the recycle truck come by?,"Response: it usually gets here at noon on tuesday, which is tomorrow."
"Context: it usually gets here at noon on tuesday, which is tomorrow.",Response: i'll just take it out to the street tomorrow morning.
Context: i'll just take it out to the street tomorrow morning.,"Response: oh, no, you don't."
"Context: oh, no, you don't.",Response: what do you mean?
Context: what do you mean?,Response: every morning you get up late and rush off to work late.
Context: every morning you get up late and rush off to work late.,Response: do you think i'll forget to do it?
Context: do you think i'll forget to do it?,"Response: you'll remember to do it, but you won't have time to do it."
"Context: you'll remember to do it, but you won't have time to do it.","Response: okay, i'll take it out front right now."
Context: are you ready?,Response: ready for what?
Context: ready for what?,Response: ready for the big switch.
Context: ready for the big switch.,Response: what are you talking about?
Context: what are you talking about?,Response: the nation is switching to digital tv.
Context: the nation is switching to digital tv.,Response: oh. of course i'm ready.
Context: oh. of course i'm ready.,Response: did you buy the converter?
Context: did you buy the converter?,"Response: no, i don't need a converter because i bought a digital tv."
"Context: no, i don't need a converter because i bought a digital tv.",Response: how much was that?
Context: how much was that?,Response: it was only about $120 for a 13-inch screen.
Context: it was only about $120 for a 13-inch screen.,Response: does it pick up any digital channels?
Context: does it pick up any digital channels?,"Response: oh, yes. i get six korean channels but nothing in english!"
Context: people are funny.,Response: they sure are.
Context: they sure are.,Response: did you hear about the pilot?
Context: did you hear about the pilot?,Response: the one that stole a small plane?
Context: the one that stole a small plane?,"Response: yes, he stole a plane in canada and flew into the u.s."
"Context: yes, he stole a plane in canada and flew into the u.s.",Response: did they catch him?
Context: did they catch him?,"Response: yes. after two u.s. fighter jets followed him for an hour, he landed on a highway."
"Context: yes. after two u.s. fighter jets followed him for an hour, he landed on a highway.",Response: did he crash?
Context: did he crash?,"Response: no, he just landed the plane and walked to a restaurant."
"Context: no, he just landed the plane and walked to a restaurant.",Response: did the cops find out why he flew into the u.s.?
Context: did the cops find out why he flew into the u.s.?,Response: his life sucked. he was hoping a fighter jet would shoot him down.
Context: his life sucked. he was hoping a fighter jet would shoot him down.,Response: poor guy.
Context: the police need our help finding a robber.,Response: how do you know?
Context: how do you know?,Response: the tv news is reporting a bank robbery.
Context: the tv news is reporting a bank robbery.,Response: do they know what the robber looks like?
Context: do they know what the robber looks like?,"Response: yes, he's 6 feet tall, 200 pounds, black hair, and about 30 years old."
"Context: yes, he's 6 feet tall, 200 pounds, black hair, and about 30 years old.",Response: what race is he?
Context: what race is he?,Response: they didn't say.
Context: they didn't say.,Response: the tv news doesn't tell us the race anymore.
Context: the tv news doesn't tell us the race anymore.,Response: of course not. that would be racist.
Context: of course not. that would be racist.,Response: but how can we identify someone if we don't know their race?
Context: but how can we identify someone if we don't know their race?,Response: don't ask me.
Context: don't ask me.,"Response: then they also shouldn't tell us if the robber is male or female, because that is sexist."
Context: don't wipe your nose on your sleeve.,Response: but i don't have a tissue.
Context: but i don't have a tissue.,Response: then go find a tissue in the bathroom.
Context: then go find a tissue in the bathroom.,Response: i didn't have time to get one from there.
Context: i didn't have time to get one from there.,Response: your sleeves are not tissues.
Context: your sleeves are not tissues.,"Response: but mom, all my friends use their sleeves."
"Context: but mom, all my friends use their sleeves.",Response: that doesn't make it right.
Context: that doesn't make it right.,Response: i saw dad wipe his nose on his sleeve yesterday.
Context: i saw dad wipe his nose on his sleeve yesterday.,Response: i will talk to your father about that.
Context: i will talk to your father about that.,Response: i bet dad did it all the time when he was my age.
Context: i bet dad did it all the time when he was my age.,Response: your daddy was a good little boy.
Context: your daddy was a good little boy.,"Response: how do you know? were you his mommy, too?"
Context: i'm worried.,Response: worried about what?
Context: worried about what?,Response: i'm getting married.
